question,answer
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6522 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 12376 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 10334 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 5506 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6241 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 11776 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 8688 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 11894 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 14808 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 14240 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 14602 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 8528 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 5652 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 8399 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 9597 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 8938 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 12449 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 13162 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 12478 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 14420 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 7251 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 12204 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 7401 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 9338 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 13156 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 10950 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 6606 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13761 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9762 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9401 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 11380 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 5687 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6826 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 7751 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 12153 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 9540 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 10665 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 13617 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13808 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 11943 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6117 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 5705 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 7533 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 12060 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 11966 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12224 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 13808 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 5501 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 10061 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 7838 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 10569 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13426 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 6051 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 10069 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 11559 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 6870 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 6459 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 9646 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 13125 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 10704 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 12497 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 7076 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 10909 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 11182 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12371 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 9625 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 14546 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 13388 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 7159 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 7167 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 13417 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 6785 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 10926 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12237 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 14354 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 5070 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 5129 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 7268 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12276 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 10440 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 7931 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12580 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 7931 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 6084 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 7173 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13551 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6621 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 8904 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 9044 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 12916 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 13517 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 8541 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 13657 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 9372 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 13025 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 7882 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 11245 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12875 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6322 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6730 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 7042 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 5955 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 11804 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 8552 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 8120 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 5672 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 9988 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9853 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6455 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12906 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13964 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 8446 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 5742 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 14503 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 14171 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 10118 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6620 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 8702 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 12499 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 9577 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 6971 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 9601 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 5783 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 13975 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 11432 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 14912 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 7733 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 12825 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 9167 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 14417 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 8947 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 9432 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 6625 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 8792 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9021 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 5134 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 7127 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 10538 kg/ha"
